storage_system,file_category,file_name,file_size_bytes,file_type,upload_time_sec,upload_speed_mb_sec,retrieval_time_sec,retrieval_speed_mb_sec,upload_success,retrieval_success,download_verified,cpu_usage,memory_usage,timestamp
HDFS,small,img-sm-1.jpg,127120,.jpg,0.0674,1.7996,0.0441,2.7478,True,True,True,17.1,83.6,2025-10-25 12:31:28
MinIO,small,img-sm-1.jpg,127120,.jpg,0.0091,13.2995,0.0148,8.1728,True,True,True,13.5,83.6,2025-10-25 12:31:30
MongoDB,small,img-sm-1.jpg,127120,.jpg,0.1926,0.6294,0.0142,8.5193,True,True,True,20.1,82.4,2025-10-25 12:31:32
HDFS,small,img-sm-10.png,989436,.png,0.4771,1.9777,0.0475,19.8553,True,True,True,16.4,82.2,2025-10-25 12:31:34
MinIO,small,img-sm-10.png,989436,.png,0.0715,13.1912,0.0086,109.3148,True,True,True,20.7,82.2,2025-10-25 12:31:36
MongoDB,small,img-sm-10.png,989436,.png,0.0251,37.5344,0.0457,20.6423,True,True,True,19.0,82.4,2025-10-25 12:31:38
HDFS,small,img-sm-11.png,830176,.png,0.4751,1.6664,0.0654,12.1025,True,True,True,16.4,82.4,2025-10-25 12:31:41
MinIO,small,img-sm-11.png,830176,.png,0.068,11.6507,0.0225,35.1919,True,True,True,12.0,82.4,2025-10-25 12:31:43
MongoDB,small,img-sm-11.png,830176,.png,0.0785,10.0859,0.1173,6.7514,True,True,True,22.2,82.5,2025-10-25 12:31:45
HDFS,medium,img-md-1.png,2230971,.png,0.5137,4.142,0.0624,34.0792,True,True,True,30.8,82.6,2025-10-25 12:31:48
MinIO,medium,img-md-1.png,2230971,.png,0.058,36.695,0.0067,315.2759,True,True,True,20.8,82.6,2025-10-25 12:31:50
MongoDB,medium,img-md-1.png,2230971,.png,0.0816,26.0734,0.051,41.7023,True,True,True,17.4,78.1,2025-10-25 12:31:52
HDFS,medium,img-md-10.png,544361,.png,0.06,8.6538,0.055,9.4396,True,True,True,15.6,74.7,2025-10-25 12:31:54
MinIO,medium,img-md-10.png,544361,.png,0.0146,35.5495,0.0088,59.1504,True,True,True,10.6,74.6,2025-10-25 12:31:56
MongoDB,medium,img-md-10.png,544361,.png,0.0216,24.0084,0.0263,19.7332,True,True,True,14.5,74.5,2025-10-25 12:31:58
HDFS,medium,img-md-11.png,134160,.png,0.049,2.6125,0.0392,3.2656,True,True,True,11.0,74.5,2025-10-25 12:32:00
MinIO,medium,img-md-11.png,134160,.png,0.0155,8.2362,0.0149,8.5724,True,True,True,8.3,74.5,2025-10-25 12:32:02
MongoDB,medium,img-md-11.png,134160,.png,0.0213,6.0117,0.019,6.7387,True,True,True,8.4,74.5,2025-10-25 12:32:04
HDFS,large,vid-lg-1.mp4,580577946,.mp4,1.6635,332.8353,3.8223,144.8574,True,True,True,29.7,80.4,2025-10-25 12:32:12
MinIO,large,vid-lg-1.mp4,580577946,.mp4,2.1157,261.7055,3.1349,176.6171,True,True,True,31.9,80.9,2025-10-25 12:32:19
MongoDB,large,vid-lg-1.mp4,580577946,.mp4,12.7124,43.5546,8.3788,66.081,True,True,True,32.8,80.5,2025-10-25 12:32:42
HDFS,large,vid-lg-2.mp4,1088464301,.mp4,6.7394,154.0263,23.2529,44.6412,True,True,True,25.9,82.5,2025-10-25 12:33:14
MinIO,large,vid-lg-2.mp4,1088464301,.mp4,7.8406,132.3927,13.4816,76.997,True,True,True,30.2,84.4,2025-10-25 12:33:38
MongoDB,large,vid-lg-2.mp4,1088464301,.mp4,16.2007,64.0738,24.4377,42.477,True,True,True,35.4,81.9,2025-10-25 12:34:21
