storage_system,file_category,file_name,file_size_bytes,file_type,upload_time_sec,upload_speed_mb_sec,retrieval_time_sec,retrieval_speed_mb_sec,upload_success,retrieval_success,download_verified,cpu_usage,memory_usage,timestamp
HDFS,small,img-sm-1.jpg,127120,.jpg,0.0852,1.4221,0.0652,1.858,True,True,True,18.8,82.4,2025-10-25 12:17:36
MinIO,small,img-sm-1.jpg,127120,.jpg,0.018,6.7247,0.0124,9.7886,True,True,True,13.1,82.4,2025-10-25 12:17:38
MongoDB,small,img-sm-1.jpg,127120,.jpg,0.2783,0.4356,0.0251,4.822,True,True,True,21.2,83.2,2025-10-25 12:17:40
HDFS,small,img-sm-10.png,989436,.png,0.1606,5.875,0.1368,6.8974,True,True,True,27.4,84.1,2025-10-25 12:17:42
MinIO,small,img-sm-10.png,989436,.png,0.0897,10.5184,0.0283,33.3365,True,True,True,13.0,83.9,2025-10-25 12:17:44
MongoDB,small,img-sm-10.png,989436,.png,0.0626,15.0743,0.0455,20.7379,True,True,True,10.6,83.3,2025-10-25 12:17:46
HDFS,small,img-sm-11.png,830176,.png,0.1073,7.3792,0.1029,7.6912,True,True,True,22.2,83.3,2025-10-25 12:17:49
MinIO,small,img-sm-11.png,830176,.png,0.0734,10.7866,0.0271,29.2187,True,True,True,19.7,83.4,2025-10-25 12:17:51
MongoDB,small,img-sm-11.png,830176,.png,0.0828,9.561,0.0326,24.3157,True,True,True,45.1,83.7,2025-10-25 12:17:53
HDFS,medium,img-md-1.png,2230971,.png,0.103,20.6576,0.1967,10.8146,True,True,True,27.4,83.9,2025-10-25 12:17:55
MinIO,medium,img-md-1.png,2230971,.png,0.0367,57.9319,0.0442,48.0909,True,True,True,42.3,84.9,2025-10-25 12:17:57
MongoDB,medium,img-md-1.png,2230971,.png,0.1096,19.4106,0.1157,18.3898,True,True,True,22.0,85.0,2025-10-25 12:17:59
HDFS,medium,img-md-10.png,544361,.png,0.1433,3.6239,0.0745,6.9728,True,True,True,14.3,85.0,2025-10-25 12:18:02
MinIO,medium,img-md-10.png,544361,.png,0.0709,7.3225,0.0177,29.3737,True,True,True,17.0,85.4,2025-10-25 12:18:04
MongoDB,medium,img-md-10.png,544361,.png,0.0637,8.1474,0.0336,15.4475,True,True,True,22.1,85.0,2025-10-25 12:18:06
HDFS,medium,img-md-11.png,134160,.png,0.1354,0.9448,0.1024,1.2491,True,True,True,28.2,84.9,2025-10-25 12:18:08
MinIO,medium,img-md-11.png,134160,.png,0.0304,4.213,0.0128,10.0147,True,True,True,12.7,84.7,2025-10-25 12:18:10
MongoDB,medium,img-md-11.png,134160,.png,0.039,3.2842,0.0177,7.2387,True,True,True,15.3,84.8,2025-10-25 12:18:12
HDFS,large,vid-lg-1.mp4,580577946,.mp4,3.8701,143.0684,13.5593,40.8343,True,True,True,38.5,84.3,2025-10-25 12:18:32
MinIO,large,vid-lg-1.mp4,580577946,.mp4,14.7651,37.4993,3.5716,155.0243,True,True,True,31.6,86.8,2025-10-25 12:18:52
MongoDB,large,vid-lg-1.mp4,580577946,.mp4,9.5727,57.8395,18.4891,29.9464,True,True,True,41.3,91.2,2025-10-25 12:19:22
HDFS,large,vid-lg-2.mp4,1088464301,.mp4,4.9363,210.288,28.4716,36.4588,True,True,True,39.0,82.3,2025-10-25 12:19:58
MinIO,large,vid-lg-2.mp4,1088464301,.mp4,8.1124,127.9579,15.0693,68.8847,True,True,True,33.9,86.8,2025-10-25 12:20:23
MongoDB,large,vid-lg-2.mp4,1088464301,.mp4,21.3377,48.6483,26.6753,38.9139,True,True,True,37.5,82.7,2025-10-25 12:21:13
